Program,Season,Event,Event Start,Event End,Role,Hours
FTC,2015,NC FTC Kickoff,9/12/2015, 9/12/2015,Referee,
FLL Challenge,2015,Central Carolina Community College FLL Qualifying Tournament,12/5/2015, 12/5/2015,Referee,
FLL Challenge,2015,Triangle Math and Science FLL Qualifying Tournament,12/12/2015, 12/12/2015,Referee,
FTC,2015,Cardinal Gibbons HS FTC Qualifying Tournament,1/16/2016, 1/16/2016,Referee,
FTC,2015,TSDCH FTC Qualifying Tournament,1/30/2016, 1/30/2016,Referee,
FTC,2015,Southern Guilford HS FTC Qualifying Tournament,2/6/2016, 2/6/2016,Head Referee,
FLL Challenge,2015,FIRST LEGO League State Championship (Bracket B),2/7/2016, 2/7/2016,Referee,
FTC,2015,Northern Guilford HS FTC Qualifying Tournament,2/13/2016, 2/13/2016,Referee,
FTC,2015,FIRST Tech Challenge State Championship,2/20/2016, 2/20/2016,Robot Inspector,
FTC,2015,FIRST Tech Challenge State Championship,2/20/2016, 2/20/2016,Referee,
FRC,2016,NC District - Guilford County Event,3/4/2016, 3/6/2016,Referee,
FTC,2015,FTC South Super Regional Championship,3/9/2016, 3/11/2016,Referee,
FRC,2016,NC District - UNC Asheville Event,3/18/2016, 3/20/2016,Referee,
FRC,2016,NC District - Campbell University/Johnston Community College Event,4/1/2016, 4/3/2016,Referee,
FRC,2016,NC FIRST Robotics State Championship,4/8/2016, 4/10/2016,Referee,
FRC,2016,FIRST Championship,4/27/2016, 4/30/2016,Referee,
FTC,2016,NC FTC Kickoff,9/10/2016, 9/10/2016,Referee,
FRC,2016,THOR,9/24/2016, 9/24/2016,Referee,
FLL Challenge,2016,Dudley High School FLL Qualifying Tournament,11/12/2016, 11/12/2016,Head Referee,
FLL Challenge,2016,Triangle Math and Science FLL Qualifying Tournament,11/19/2016, 11/19/2016,Head Referee,
FLL Challenge,2016,Flat Rock MS FLL Qualifying Tournament,12/3/2016, 12/3/2016,Head Referee,
FTC,2016,Cardinal Gibbons HS FTC Qualifying Tournament,1/14/2017, 1/14/2017,Head Referee,
FTC,2016,Cardinal Gibbons HS FTC Qualifying Tournament,1/14/2017, 1/14/2017,Referee,
FLL Challenge,2016,North Carolina FIRST LEGO League State Championship Tournament (Bracket B),1/15/2017, 1/15/2017,Referee,
FTC,2016,Trinity School of Durham & Chapel Hill FTC Qualifying Tournament,1/28/2017, 1/28/2017,Head Referee,
FTC,2016,Northern Guilford HS FTC Qualifying Tournament,2/4/2017, 2/4/2017,Head Referee,
FTC,2016,North Carolina FIRST Tech Challenge Championship,2/18/2017, 2/18/2017,Referee,
FRC,2017,NC District - Pitt County Event,3/3/2017, 3/5/2017,Referee,
FRC,2017,NC District - Greensboro Event,3/9/2017, 3/11/2017,Field Assembly,
FRC,2017,NC District - Greensboro Event,3/9/2017, 3/11/2017,Referee,
FRC,2017,NC District - Greensboro Event,3/9/2017, 3/11/2017,Field Disassembly,
FRC,2017,NC District - UNC Asheville Event,3/17/2017, 3/19/2017,Referee,
FRC,2017,NC District - Raleigh Event,3/23/2017, 3/25/2017,Referee,
FRC,2017,FIRST North Carolina State Championship,3/31/2017, 4/2/2017,Field Assembly,
FRC,2017,FIRST North Carolina State Championship,3/31/2017, 4/2/2017,Referee,
FRC,2017,FIRST Championship - Houston,4/19/2017, 4/22/2017,Referee,
FTC,2017,NC FTC Kickoff,9/9/2017, 9/9/2017,Referee,
FRC,2017,THOR,10/28/2017, 10/28/2017,Head Referee,
FLL Challenge,2017,Neal Magnet MS FLL Qualifying Tournament,12/2/2017, 12/2/2017,Head Referee,
FLL Challenge,2017,Triangle Math and Science FLL Qualifying Tournament,12/16/2017, 12/16/2017,Head Referee,
FTC,2017,Cardinal Gibbons HS FTC Qualifying Tournament,1/13/2018, 1/13/2018,Head Referee,
FTC,2017,AG Cox MS FTC Qualifying Tournament,1/20/2018, 1/20/2018,Head Referee,
FLL Challenge,2017,North Carolina FIRST LEGO League State Championship Tournament (Bracket B),1/21/2018, 1/21/2018,Referee,
FTC,2017,Southern Guilford HS FTC Qualifying Tournament,1/27/2018, 1/27/2018,Head Referee,
FTC,2017,Northern Guilford HS FTC Qualifying Tournament,2/3/2018, 2/3/2018,Head Referee,
FTC,2017,2017-2018 NC FTC State Championship,2/10/2018, 2/10/2018,Referee,
FTC,2017,FIRST Tech Challenge South Super Regional,3/8/2018, 3/10/2018,Scoring System Development,
FRC,2018,NC District UNC Pembroke Event,3/16/2018, 3/18/2018,Field Assembly,
FRC,2018,NC District UNC Pembroke Event,3/16/2018, 3/18/2018,Referee,
FRC,2018,NC District UNC Pembroke Event,3/16/2018, 3/18/2018,Field Disassembly,
FRC,2018,NC District UNC Asheville Event,3/23/2018, 3/25/2018,Referee,
FRC,2018,FIRST North Carolina State Championship,4/6/2018, 4/8/2018,Field Assembly,
FRC,2018,FIRST North Carolina State Championship,4/6/2018, 4/8/2018,Referee,
FRC,2018,FIRST North Carolina State Championship,4/6/2018, 4/8/2018,Field Disassembly,
FTC,2018,NC FTC Kickoff,9/8/2018, 9/8/2018,Referee,
FRC,2018,THOR,9/29/2018, 9/29/2018,Head Referee,
FLL Challenge,2018,Carver Middle School FLL Qualifying Tournament,1/12/2019, 1/12/2019,Head Referee,
FTC,2018,Farmville MS Qualifying Tournament,1/26/2019, 1/26/2019,Head Referee,
FTC,2018,Farmville MS Qualifying Tournament,1/26/2019, 1/26/2019,Robot Inspector,
FTC,2018,Farmville MS Qualifying Tournament,1/26/2019, 1/26/2019,Referee,
FTC,2018,Farmville MS Qualifying Tournament,1/26/2019, 1/26/2019,Field Inspector,
FTC,2018,Northern Guilford HS Qualifying Tournament,2/2/2019, 2/2/2019,Referee,
FTC,2018,Southern Guilford HS Qualifying Tournament,2/9/2019, 2/9/2019,Head Referee,
FTC,2018,Triangle Math and Science Academy Qualifying Tournament,2/16/2019, 2/16/2019,Head Referee,
FTC,2018,North Carolina FIRST Tech Challenge Championship Tournament,3/2/2019, 3/2/2019,Head Referee,
FRC,2019,FNC District Wake County Event,3/8/2019, 3/10/2019,Field Assembly,
FRC,2019,FNC District Wake County Event,3/8/2019, 3/10/2019,Referee,
FRC,2019,FNC District Wake County Event,3/8/2019, 3/10/2019,Field Disassembly,
FRC,2019,FNC District Guilford County Event,3/15/2019, 3/17/2019,Field Assembly,
FRC,2019,FNC District Guilford County Event,3/15/2019, 3/17/2019,Referee,
FRC,2019,FNC District Guilford County Event,3/15/2019, 3/17/2019,Field Disassembly,
FRC,2019,FNC District UNC Pembroke Event,3/29/2019, 3/31/2019,Field Assembly,
FRC,2019,FNC District UNC Pembroke Event,3/29/2019, 3/31/2019,Referee,
FRC,2019,FNC District UNC Pembroke Event,3/29/2019, 3/31/2019,Field Disassembly,
FRC,2019,FIRST North Carolina State Championship,4/5/2019, 4/7/2019,Field Assembly,
FRC,2019,FIRST North Carolina State Championship,4/5/2019, 4/7/2019,Referee,
FTC,2019,NC FTC Kickoff,9/7/2019, 9/7/2019,Referee,
FTC,2019,FIRST Chesapeake FTC Workshop,9/21/2019, 9/21/2019,Referee,
FRC,2019,Blue Ridge Brawl FIRST Robotics Competition Off-Season Competition,10/5/2019, 10/5/2019,Head Referee,
FRC,2019,IROC (ILITE Robotics Offseason Challenge),10/26/2019, 10/26/2019,Referee,
FRC,2019,Rumble in the Roads FIRST Robotics Competition Off-Season Competition,11/2/2019, 11/2/2019,Referee,
FTC,2019,Oakton Qualifying Tournament,11/24/2019, 11/24/2019,Referee,
FTC,2019,Richmond Qualifying Tournament,12/7/2019, 12/7/2019,Referee,
FTC,2019,Newport News Qualifying Tournament,12/14/2019, 12/14/2019,Referee,
FTC,2019,Centreville Qualifier,12/15/2019, 12/15/2019,Referee,
FTC,2019,Charlottesville Qualifying Tournament,1/4/2020, 1/4/2020,Head Referee,
FTC,2019,Salem Qualifying Tournament,1/11/2020, 1/11/2020,Referee,
FTC,2019,Cardinal Gibbons High School QT,1/18/2020, 1/18/2020,Referee,
FTC,2019,Virginia State Championship sponsored by Capital One,2/22/2020, 2/22/2020,Head Referee,
FTC,2019,North Carolina FIRST Tech Challenge State Championship Tournament,2/29/2020, 2/29/2020,Referee,
FRC,2020,CHS District Richmond VA Event sponsored by Dominion Energy,3/6/2020, 3/8/2020,Referee,
FRC,2021,CHSy Champs,7/24/2021, 7/24/2021,Referee,
FTC,2020,LOKI,8/14/2021, 8/14/2021,Referee,
FTC,2021,NC FTC Kickoff,9/18/2021, 9/18/2021,Referee,
FTC,2021,VA Glen Allen Qualifier 1,12/11/2021, 12/11/2021,Referee,
FTC,2021,NC Scrimmage,12/18/2021, 12/18/2021,Referee,
FTC,2021,MD Middle River Qualifier 1,1/29/2022, 1/30/2022,Scorekeeper,
FTC,2021,VA Norfolk Qualifier 1,2/5/2022, 2/6/2022,Scorekeeper,
FRC,2022,CHS District Greater Richmond Series #1,3/5/2022, 3/6/2022,Referee,
FRC,2022,CHS District Greater Richmond Series #2,3/19/2022, 3/20/2022,Head Referee,
FRC,2022,FNC District Guilford County Event,3/25/2022, 3/27/2022,Referee,
FRC,2022,FIRST Championship - FIRST Robotics Competition,4/20/2022, 4/23/2022,Referee,
FTC,2022,NC FTC Kickoff,9/10/2022, 9/10/2022,Referee,
FRC,2022,Blue Ridge Brawl,10/8/2022, 10/8/2022,Head Referee,
FRC,2022,CHSy Champs,10/22/2022, 10/22/2022,Referee,
FTC,2022,CHS-VA Christiansburg Qualifier,12/3/2022, 12/3/2022,Head Referee,
FTC,2022,CHS-VA Mechanicsville Qualifier 2,12/4/2022, 12/4/2022,Referee,
FTC,2022,CHS-VA Orange Qualifier,12/10/2022, 12/10/2022,Referee,
FTC,2022,CHS-VA Glen Allen Qualifier,12/11/2022, 12/11/2022,Referee,
FTC,2022,CHS-VA Harrisonburg Qualifier 1,1/21/2023, 1/21/2023,Head Referee,
FTC,2022,CHS-VA Harrisonburg Qualifier 2,1/22/2023, 1/22/2023,Head Referee,
FTC,2022,NC FTC Western MS,1/28/2023, 1/28/2023,Head Referee,
FTC,2022,CHS-MD Potomac Qualifier,2/5/2023, 2/5/2023,Head Referee,
FTC,2022,Chesapeake FTC Championship,2/11/2023, 2/11/2023,Head Referee,
FTC,2022,North Carolina FTC State Championship,2/18/2023, 2/18/2023,Referee,
FRC,2023,CHS District Blacksburg VA Event,3/3/2023, 3/5/2023,Referee,
FRC,2023,CHS District Portsmouth VA Event,3/17/2023, 3/19/2023,Referee,
