title	type	url_slug	venue	date	location	talk_url	description
Faster Biclique Mining in Near-Bipartite Graphs	Conference proceedings talk	faster-biclique-mining-1	2019 International Symposium on Experimental Algorithms (SEA^2)	2019-06-25	Kalamata, Greece	""	Presentation at the International Symposium on Experimental Algorithms 2019
Fuzzing Mobile Robot Environments for Fast Automated Crash Detection	Conference proceedings talk	fuzzing-mobile-robot-environments-2	2021 IEEE International Conference on Robotics and Automation (ICRA)	2021-06-01	Xi'an, China (Virtually)		Presentation at the IEEE International Conference on Robotics and Automation (ICRA) 2021, virtually due to the COVID-19 pandemic
Semantic Image Fuzzing of AI Perception Systems	Conference proceedings talk	semantic-image-fuzzing-3	44th International Conference on Software Engineering (ICSE ’22)	2022-05-27	Pittsburgh, PA, USA	https://www.youtube.com/watch?v=yvebOPUN6ZM	Presentation at the 44th International Conference on Software Engineering (ICSE ’22)
Generating Realistic and Diverse Tests for LiDAR-Based Perception Systems	Conference proceedings talk	lidar-4	45th International Conference on Software Engineering (ICSE ’23)	2023-05-19	Melbourne, Australia	""	Presentation at the 45th International Conference on Software Engineering (ICSE ’23)
S<sup>3</sup>C: Spatial Semantic Scene Coverage for Autonomous Vehicles	Conference proceedings talk	s3c-5	46th International Conference on Software Engineering (ICSE ’24)	2024-04-19	Lisbon, Portugal		Presentation at the 46th International Conference on Software Engineering (ICSE ’24)
Runtime Monitoring for Autonomous Driving Systems	Invited Talk	ncssm-6	North Carolina School of Science and Mathematics	2024-10-20	Durham, NC, USA		Invited talk to address <i>FIRST</i> Robotics students at NCSSM
Realism Constructs for ADS Simulation Testing	Workshop proceedings talk	realism-7	1st International Workshop on Software Engineering for Autonomous Driving Systems (SE4ADS 2025)	2025-4-29	Ottawa, Canada		Presentation at the 1st International Workshop on Software Engineering for Autonomous Driving Systems (SE4ADS 2025)
A Differential Testing Framework to Identify Critical AV Failures Leveraging Arbitrary Inputs	Conference proceedings talk	difftest4av-8	47th International Conference on Software Engineering (ICSE 2025)	2025-04-30	Ottawa, Canada		Presentation at the 47th International Conference on Software Engineering (ICSE 2025)
Closing the Gap between Sensor Inputs and Driving Properties: A Scene Graph Generator for CARLA	Conference proceedings talk	sgg-9	47th International Conference on Software Engineering: Demonstrations (ICSE-DEMO'25)	2025-05-02	Ottawa, Canada		Presentation at the 47th International Conference on Software Engineering: Demonstrations (ICSE-DEMO'25)
Scene Flow Specifications: Encoding and Monitoring Rich Temporal Safety Properties of Autonomous Systems	Conference proceedings talk	sceneflow-10	2025 ACM International Conference on the Foundations of Software Engineering	2025-6-24	Trondheim, Norway		Presentation at the 2025 ACM International Conference on the Foundations of Software Engineering
